Vehicle Name,Car Type,Drive Train Type,Retail Price ($US),Cost Price ($US),Engine Size (litres),Number cylinders,Horsepower (hp),City  (km/100L),Open Road (km/100L),Weight (kg),Wheel base (cm),Length (cm),Width (cm)
Ford Taurus LX 4dr,regular,FrontWheelDr,20320.00,18881.00,3.00,6.00,155.00,11.80,8.70,1488.00,277.00,503.00,185.00
Ford Taurus SES Duratec 4dr,regular,FrontWheelDr,22735.00,20857.00,3.00,6.00,201.00,12.40,9.00,1491.00,277.00,503.00,185.00
Honda Accord LX 2dr,regular,FrontWheelDr,19860.00,17924.00,2.40,4.00,160.00,9.00,6.90,1347.00,267.00,478.00,180.00
Honda Accord EX 2dr,regular,FrontWheelDr,22260.00,20080.00,2.40,4.00,160.00,9.00,6.90,1371.00,267.00,478.00,180.00
Honda Civic EX 4dr,regular,FrontWheelDr,17750.00,16265.00,1.70,4.00,127.00,7.40,6.40,1170.00,262.00,445.00,173.00
Honda Civic Si 2dr hatch,regular,FrontWheelDr,19490.00,17849.00,2.00,4.00,160.00,9.00,7.80,1252.00,257.00,422.00,170.00
Honda Civic Hybrid 4dr manual (gas/electric),regular,FrontWheelDr,20140.00,18451.00,1.40,4.00,93.00,5.10,4.60,1229.00,262.00,445.00,173.00
Honda Insight 2dr (gas/electric),regular,FrontWheelDr,19110.00,17911.00,2.00,3.00,73.00,3.90,3.60,833.00,241.00,394.00,170.00
Hyundai Sonata GLS 4dr,regular,FrontWheelDr,19339.00,17574.00,2.70,6.00,170.00,12.40,8.70,1448.00,269.00,475.00,183.00
Hyundai Sonata LX 4dr,regular,FrontWheelDr,20339.00,18380.00,2.70,6.00,170.00,12.40,8.70,1448.00,269.00,475.00,183.00
Kia Optima LX V6 4dr,regular,FrontWheelDr,18435.00,16850.00,2.70,6.00,170.00,11.80,8.70,1476.00,269.00,472.00,183.00
Mazda3 s 4dr,regular,FrontWheelDr,17200.00,15922.00,2.30,4.00,160.00,,,1243.00,,,
Mazda6 i 4dr,regular,FrontWheelDr,19270.00,17817.00,2.30,4.00,160.00,9.80,7.40,1369.00,267.00,475.00,178.00
Mercury Sable GS 4dr,regular,FrontWheelDr,21595.00,19848.00,3.00,6.00,155.00,11.80,8.70,1489.00,277.00,508.00,185.00
Mini Cooper S,regular,FrontWheelDr,19999.00,18137.00,1.60,4.00,163.00,9.40,6.90,1205.00,246.00,366.00,170.00
Mitsubishi Galant ES 2.4L 4dr,regular,FrontWheelDr,19312.00,17957.00,2.40,4.00,160.00,,,1508.00,274.00,485.00,183.00
Mitsubishi Lancer OZ Rally 4dr auto,regular,FrontWheelDr,17232.00,16196.00,2.00,4.00,120.00,,,1235.00,259.00,460.00,170.00
Nissan Altima S 4dr,regular,FrontWheelDr,19240.00,18030.00,2.50,4.00,175.00,11.20,9.00,1368.00,279.00,488.00,178.00
Nissan Sentra SE-R 4dr,regular,FrontWheelDr,17640.00,16444.00,2.50,4.00,165.00,10.20,8.40,1242.00,254.00,452.00,170.00
Oldsmobile Alero GX 2dr,regular,FrontWheelDr,18825.00,17642.00,2.20,4.00,140.00,9.80,7.40,1326.00,272.00,475.00,178.00
Pontiac Grand Am GT 2dr,regular,FrontWheelDr,22450.00,20595.00,3.40,6.00,175.00,11.80,8.10,1403.00,272.00,472.00,178.00
Pontiac Grand Prix GT1 4dr,regular,FrontWheelDr,22395.00,20545.00,3.80,6.00,200.00,11.80,7.80,1565.00,282.00,503.00,188.00
Pontiac Sunfire 1SC 2dr,regular,FrontWheelDr,17735.00,16369.00,2.20,4.00,140.00,9.80,7.10,1247.00,264.00,462.00,173.00
Saturn L300-2 4dr,regular,FrontWheelDr,21410.00,19801.00,3.00,6.00,182.00,11.80,8.40,1439.00,272.00,483.00,175.00
Subaru Impreza 2.5 RS 4dr,regular,AllWheelDr,19945.00,18399.00,2.50,4.00,165.00,10.70,8.40,1334.00,251.00,442.00,175.00
Subaru Legacy L 4dr,regular,AllWheelDr,20445.00,18713.00,2.50,4.00,165.00,11.20,8.40,1478.00,264.00,467.00,175.00
Suzuki Verona LX 4dr,regular,FrontWheelDr,17262.00,17053.00,2.50,6.00,155.00,11.80,8.70,1521.00,269.00,478.00,183.00
Toyota Camry LE 4dr,regular,FrontWheelDr,19560.00,17558.00,2.40,4.00,157.00,9.80,7.10,1389.00,272.00,480.00,180.00
Toyota Camry LE V6 4dr,regular,FrontWheelDr,22775.00,20325.00,3.00,6.00,210.00,11.20,8.10,1483.00,272.00,480.00,180.00
Toyota Camry Solara SE 2dr,regular,FrontWheelDr,19635.00,17722.00,2.40,4.00,157.00,9.80,7.10,1429.00,272.00,490.00,183.00
Toyota Camry Solara SE V6 2dr,regular,FrontWheelDr,21965.00,19819.00,3.30,6.00,225.00,11.80,8.10,1538.00,272.00,490.00,183.00
Toyota Prius 4dr (gas/electric),regular,FrontWheelDr,20510.00,18926.00,1.50,4.00,110.00,4.00,4.60,1301.00,269.00,445.00,173.00
Volkswagen Golf GLS 4dr,regular,FrontWheelDr,18715.00,17478.00,2.00,4.00,115.00,9.80,7.60,1304.00,251.00,419.00,173.00
Volkswagen GTI 1.8T 2dr hatch,regular,FrontWheelDr,19825.00,18109.00,1.80,4.00,180.00,9.80,7.60,1320.00,251.00,427.00,173.00
Volkswagen Jetta GLS TDI 4dr,regular,FrontWheelDr,21055.00,19638.00,1.90,4.00,100.00,6.20,5.10,1351.00,251.00,437.00,173.00
Volkswagen New Beetle GLS 1.8T 2dr,regular,FrontWheelDr,21055.00,19638.00,1.80,4.00,150.00,9.80,7.60,1269.00,251.00,409.00,173.00
Acura RSX Type S 2dr,regular,FrontWheelDr,23820.00,21761.00,2.00,4.00,200.00,9.80,7.60,1250.00,257.00,437.00,173.00
Acura TSX 4dr,regular,FrontWheelDr,26990.00,24647.00,2.40,4.00,200.00,10.70,8.10,1454.00,267.00,465.00,175.00
Audi A4 1.8T 4dr,regular,FrontWheelDr,25940.00,23508.00,1.80,4.00,170.00,10.70,7.60,1463.00,264.00,455.00,178.00
BMW 325i 4dr,regular,RearWheelDr,28495.00,26155.00,2.50,6.00,184.00,11.80,8.10,1449.00,272.00,447.00,175.00
Buick LeSabre Custom 4dr,regular,FrontWheelDr,26470.00,24282.00,3.80,6.00,205.00,11.80,8.10,1605.00,284.00,508.00,188.00
Buick Regal LS 4dr,regular,FrontWheelDr,24895.00,22835.00,3.80,6.00,200.00,11.80,7.80,1557.00,277.00,498.00,185.00
Buick Regal GS 4dr,regular,FrontWheelDr,28345.00,26047.00,3.80,6.00,240.00,13.10,8.40,1591.00,277.00,498.00,185.00
Chevrolet Impala LS 4dr,regular,FrontWheelDr,25000.00,22931.00,3.80,6.00,200.00,11.80,7.80,1564.00,282.00,508.00,185.00
Chevrolet Impala SS 4dr,regular,FrontWheelDr,27995.00,25672.00,3.80,6.00,240.00,13.10,8.40,1623.00,282.00,508.00,185.00
Chevrolet Malibu LT 4dr,regular,FrontWheelDr,23495.00,21551.00,3.50,6.00,200.00,10.20,7.40,1492.00,269.00,478.00,178.00
Chevrolet Monte Carlo SS 2dr,regular,FrontWheelDr,24225.00,22222.00,3.80,6.00,200.00,13.10,8.40,1545.00,282.00,503.00,185.00
Chrysler 300M 4dr,regular,FrontWheelDr,29865.00,27797.00,3.50,6.00,250.00,13.10,8.70,1611.00,287.00,503.00,188.00
Chrysler Concorde LX 4dr,regular,FrontWheelDr,24130.00,22452.00,2.70,6.00,200.00,11.20,8.10,1566.00,287.00,528.00,188.00
Chrysler Concorde LXi 4dr,regular,FrontWheelDr,26860.00,24909.00,3.50,6.00,232.00,12.40,8.70,1597.00,287.00,528.00,188.00
Chrvsler PT Cruiser GT 4dr,regular,FrontWheelDr,25955.00,24172.00,2.40,4.00,220.00,11.20,8.70,1448.00,262.00,429.00,170.00
Chrysler Sebring convertible 2dr,regular,FrontWheelDr,25215.00,23451.00,2.40,4.00,150.00,10.70,7.80,1511.00,269.00,493.00,163.00
Dodge Intrepid ES 4dr,regular,FrontWheelDr,24885.00,23058.00,3.50,6.00,232.00,13.10,8.70,1569.00,287.00,518.00,191.00
Ford Crown Victoria 4dr,regular,RearWheelDr,24345.00,22856.00,4.60,8.00,224.00,13.80,9.40,1826.00,292.00,538.00,198.00
Ford Crown Victoria LX 4dr,regular,RearWheelDr,27370.00,25105.00,4.60,8.00,224.00,13.80,9.40,1826.00,292.00,538.00,198.00
Honda Accord LX V6 4dr,regular,FrontWheelDr,23760.00,21428.00,3.00,6.00,240.00,11.20,7.80,1507.00,274.00,483.00,183.00
Honda Accord EX V6 2dr,regular,FrontWheelDr,26960.00,24304.00,3.00,6.00,240.00,11.20,7.80,1482.00,267.00,478.00,180.00
Hyundai XG350 4dr,regular,FrontWheelDr,24589.00,22055.00,3.50,6.00,194.00,13.80,9.00,1643.00,274.00,488.00,183.00
Hyundai XG350 L 4dr,regular,FrontWheelDr,26189.00,23486.00,3.50,6.00,194.00,13.80,9.00,1643.00,274.00,488.00,183.00
Infiniti G35 4dr,regular,RearWheelDr,28495.00,26157.00,3.50,6.00,260.00,13.10,9.00,1501.00,284.00,475.00,175.00
Infiniti G35 Sport Coupe 2dr,regular,RearWheelDr,29795.00,27536.00,3.50,6.00,280.00,13.10,9.00,1537.00,284.00,462.00,183.00
Jaguar X-Type 2.5 4dr,regular,AllWheelDr,29995.00,27355.00,2.50,6.00,192.00,13.10,9.00,1543.00,272.00,467.00,178.00
Kia Amanti 4dr,regular,FrontWheelDr,26000.00,23764.00,3.50,6.00,195.00,13.80,9.40,0.00,279.00,498.00,185.00
Mercedes-Benz C230 Sport 2dr,regular,RearWheelDr,26060.00,24249.00,1.80,4.00,189.00,10.70,7.80,1463.00,272.00,452.00,173.00
Mercedes-Benz C320 Sport 2dr,regular,RearWheelDr,28370.00,26435.00,3.20,6.00,215.00,12.40,9.00,1544.00,272.00,452.00,173.00
Mercury Grand Marquis GS 4dr,regular,RearWheelDr,24695.00,23217.00,4.60,8.00,224.00,13.80,9.40,1823.00,292.00,538.00,198.00
Mercury Grand Marquis LS Premium 4dr,regular,RearWheelDr,29595.00,27148.00,4.60,8.00,224.00,13.80,9.40,1823.00,292.00,538.00,198.00
Mercury Sable LS Premium 4dr,regular,FrontWheelDr,23895.00,21918.00,3.00,6.00,201.00,12.40,9.00,1492.00,277.00,508.00,185.00
Mitsubishi Diamante LS 4dr,regular,FrontWheelDr,29282.00,27250.00,3.50,6.00,205.00,13.10,9.40,1597.00,272.00,493.00,178.00
Mitsubishi Galant GTS 4dr,regular,FrontWheelDr,25700.00,23883.00,3.80,6.00,230.00,13.10,9.00,1642.00,274.00,485.00,183.00
Nissan Altima SE 4dr,regular,FrontWheelDr,23290.00,21580.00,3.50,6.00,245.00,11.20,9.00,1439.00,279.00,488.00,178.00
Nissan Maxima SE 4dr,regular,FrontWheelDr,27490.00,25182.00,3.50,6.00,265.00,11.80,8.40,1563.00,282.00,493.00,183.00
Nissan Maxima SL 4dr,regular,FrontWheelDr,29440.00,26966.00,3.50,6.00,265.00,11.80,8.40,1564.00,282.00,493.00,183.00
Oldsmobile Alero GLS 2dr,regular,FrontWheelDr,23675.00,21485.00,3.40,6.00,170.00,11.80,8.10,1388.00,272.00,475.00,178.00
Pontiac Grand Prix GT2 4dr,regular,FrontWheelDr,24295.00,22284.00,3.80,6.00,200.00,11.80,7.80,1568.00,282.00,503.00,188.00
Subaru Legacy GT 4dr,regular,AllWheelDr,25645.00,23336.00,2.50,4.00,165.00,11.20,8.40,1528.00,264.00,467.00,175.00
Subaru Outback Limited Sedan 4dr,regular,AllWheelDr,27145.00,24687.00,2.50,4.00,165.00,11.80,8.70,1573.00,264.00,467.00,175.00
Subaru Outback H6 4dr,regular,AllWheelDr,29345.00,26660.00,3.00,6.00,212.00,12.40,9.00,1625.00,264.00,467.00,175.00
Toyota Avalon XL 4dr,regular,FrontWheelDr,26560.00,23693.00,3.00,6.00,210.00,11.20,8.10,1538.00,272.00,488.00,183.00
Toyota Camry XLE V6 4dr,regular,FrontWheelDr,25920.00,23125.00,3.00,6.00,210.00,11.20,8.10,1513.00,272.00,480.00,180.00
Toyota Camry Solara SLE V6 2dr,regular,FrontWheelDr,26510.00,23908.00,3.30,6.00,225.00,11.80,8.10,1548.00,272.00,490.00,183.00
Volkswagen Jetta GLI VR6 4dr,regular,FrontWheelDr,23785.00,21686.00,2.80,6.00,200.00,11.20,7.80,1431.00,251.00,437.00,173.00
Volkswagen New Beetle GLS convertible 2dr,regular,FrontWheelDr,23215.00,21689.00,2.00,4.00,115.00,9.80,7.80,1387.00,251.00,409.00,173.00
Volkswagen Passat GLS 4dr,regular,FrontWheelDr,23955.00,21898.00,1.80,4.00,170.00,10.70,7.60,1458.00,269.00,470.00,175.00
Volvo S40 4dr,regular,FrontWheelDr,25135.00,23701.00,1.90,4.00,170.00,10.70,8.10,1245.00,257.00,452.00,173.00
Acura TL 4dr,regular,FrontWheelDr,33195.00,30299.00,3.20,6.00,270.00,11.80,8.40,1609.00,274.00,472.00,183.00
Audi A41.8T convertible 2dr,regular,FrontWheelDr,35940.00,32506.00,1.80,4.00,170.00,10.20,7.80,1637.00,267.00,457.00,178.00
Audi A4 3.0 4dr,regular,FrontWheelDr,31840.00,28846.00,3.00,6.00,220.00,11.80,8.40,1558.00,264.00,455.00,178.00
Audi A4 3.0 Quattro 4dr manual,regular,AllWheelDr,33430.00,30366.00,3.00,6.00,220.00,13.80,9.00,1612.00,264.00,455.00,178.00
Audi A4 3.0 Quattro 4dr auto,regular,AllWheelDr,34480.00,31388.00,3.00,6.00,220.00,13.10,9.40,1632.00,264.00,455.00,178.00
Audi A6 3.0 4dr,regular,FrontWheelDr,36640.00,33129.00,3.00,6.00,220.00,11.80,8.70,1602.00,277.00,488.00,180.00
Audi A6 3.0 Quattro 4dr,regular,AllWheelDr,39640.00,35992.00,3.00,6.00,220.00,13.10,9.40,1746.00,277.00,488.00,180.00
BMW 325Ci 2dr,regular,RearWheelDr,30795.00,28245.00,2.50,6.00,184.00,11.80,8.10,1439.00,272.00,450.00,175.00
BMW 325Ci convertible 2dr,regular,RearWheelDr,37995.00,34800.00,2.50,6.00,184.00,12.40,8.70,1602.00,272.00,450.00,175.00
BMW 325xi 4dr,regular,AllWheelDr,30245.00,27745.00,2.50,6.00,184.00,12.40,8.70,1557.00,272.00,447.00,175.00
BMW 330i 4dr,regular,RearWheelDr,35495.00,32525.00,3.00,6.00,225.00,11.80,7.80,1478.00,272.00,447.00,175.00
BMW 330Ci 2dr,regular,RearWheelDr,36995.00,33890.00,3.00,6.00,225.00,11.80,7.80,1478.00,272.00,447.00,175.00
BMW 330xi 4dr,regular,AllWheelDr,37245.00,34115.00,3.00,6.00,225.00,11.80,8.10,1567.00,272.00,447.00,175.00
BMW 525i 4dr,regular,RearWheelDr,39995.00,36620.00,2.50,6.00,184.00,12.40,8.40,1543.00,290.00,485.00,185.00
Buick LeSabre Limited 4dr,regular,FrontWheelDr,32245.00,29566.00,3.80,6.00,205.00,11.80,8.10,1616.00,284.00,508.00,188.00
Buick Park Avenue 4dr,regular,FrontWheelDr,35545.00,32244.00,3.80,6.00,205.00,11.80,8.10,1700.00,290.00,526.00,191.00
Cadillac CTS VVT 4dr,regular,RearWheelDr,30835.00,28575.00,3.60,6.00,255.00,13.10,9.40,1662.00,287.00,483.00,180.00
Chrysler 300M Special Edition 4dr,regular,FrontWheelDr,33295.00,30884.00,3.50,6.00,255.00,13.10,8.70,1643.00,287.00,503.00,188.00
Chrysler Sebring Limited convertible 2dr,regular,FrontWheelDr,30950.00,28613.00,2.70,6.00,200.00,11.20,8.40,1552.00,269.00,493.00,175.00
Ford Crown Victoria LX Sport 4dr,regular,RearWheelDr,30315.00,27756.00,4.60,8.00,239.00,13.80,9.40,1826.00,292.00,538.00,198.00
Infiniti G35 4dr,regular,AllWheelDr,32445.00,29783.00,3.50,6.00,260.00,13.10,9.00,1655.00,284.00,475.00,175.00
Infiniti I35 4dr,regular,FrontWheelDr,31145.00,28320.00,3.50,6.00,255.00,12.40,9.00,1488.00,274.00,493.00,178.00
Jaguar X-Type 3.0 4dr,regular,AllWheelDr,33995.00,30995.00,3.00,6.00,227.00,13.10,9.40,1582.00,272.00,467.00,178.00
Lexus ES 330 4dr,regular,FrontWheelDr,32350.00,28755.00,3.30,6.00,225.00,11.80,8.10,1557.00,272.00,485.00,180.00
Lexus IS 300 4dr manual,regular,RearWheelDr,31045.00,27404.00,3.00,6.00,215.00,13.10,9.40,1465.00,267.00,450.00,173.00
Lexus IS 300 4dr auto,regular,RearWheelDr,32415.00,28611.00,3.00,6.00,215.00,13.10,9.80,1478.00,267.00,450.00,173.00
Lincoln LS V6 Luxury 4dr,regular,RearWheelDr,32495.00,29969.00,3.00,6.00,232.00,11.80,9.00,1656.00,292.00,493.00,185.00
Lincoln LS V6 Premium 4dr,regular,RearWheelDr,36895.00,33929.00,3.00,6.00,232.00,11.80,9.00,1656.00,292.00,493.00,185.00
Mercedes-Benz C240 4dr,regular,RearWheelDr,32280.00,30071.00,2.60,6.00,168.00,11.80,9.40,1512.00,272.00,452.00,173.00
Mercedes-Benz C240 4dr,regular,AllWheelDr,33480.00,31187.00,2.60,6.00,168.00,12.40,9.40,1512.00,272.00,452.00,173.00
Mercedes-Benz C320 Sport 4dr,regular,RearWheelDr,35920.00,33456.00,3.20,6.00,215.00,12.40,9.00,1544.00,272.00,452.00,173.00
Mercedes-Benz C320 4dr,regular,RearWheelDr,37630.00,35046.00,3.20,6.00,215.00,11.80,9.00,1553.00,272.00,452.00,173.00
Mercedes-Benz C320 4dr,regular,AllWheelDr,38830.00,36162.00,3.20,6.00,215.00,12.40,8.70,0.00,272.00,452.00,173.00
Mercury Grand Marquis LS Ultimate 4dr,regular,RearWheelDr,30895.00,28318.00,4.60,8.00,224.00,13.80,9.40,1823.00,292.00,538.00,198.00
Mercury Marauder 4dr,regular,RearWheelDr,34495.00,31558.00,4.60,8.00,302.00,13.80,10.20,1888.00,292.00,538.00,198.00
Pontiac Bonneville GXP 4dr,regular,FrontWheelDr,35995.00,32997.00,4.60,8.00,275.00,,,1706.00,284.00,516.00,188.00
Saab 9-3 Arc Sport 4dr,regular,FrontWheelDr,30860.00,29269.00,2.00,4.00,210.00,11.80,8.40,1429.00,267.00,465.00,175.00
Saab 9-3 Aero 4dr,regular,FrontWheelDr,33360.00,31562.00,2.00,4.00,210.00,11.80,8.40,1429.00,267.00,465.00,175.00
