Carat,Colour,Clarity,Lab,Price ($US)
1.06,4,5,1,6820.1
1.06,5,5,1,6511.4
1.07,6,3,1,6261.5
1.1,5,5,1,6752.2
0.18,3,2,2,576.1
0.18,3,3,2,535.5
0.18,4,1,2,562.1
0.18,4,1,2,562.1
0.18,4,3,2,493.5
0.18,5,1,2,507.5
0.19,1,3,2,676.9
0.19,2,1,2,735
0.19,3,1,2,676.9
0.19,3,2,2,604.1
0.19,3,3,2,560
0.19,4,1,2,589.4
0.19,4,2,2,560
0.19,5,1,2,530.6
0.2,1,4,2,616
0.2,4,1,2,616
0.2,4,4,2,493.5
0.2,4,5,2,446.6
0.21,1,4,2,643.3
0.21,2,1,2,804.3
0.21,3,1,2,739.9
0.21,4,1,2,643.3
0.22,2,1,2,838.6
0.23,2,1,2,873.6
0.23,3,1,2,802.9
0.23,4,1,2,696.5
0.24,5,1,2,775.6
0.25,3,1,2,1039.5
0.25,4,1,2,898.1
0.25,5,1,2,804.3
0.25,6,1,2,757.4
0.26,3,1,2,1077.3
0.26,3,2,2,955.5
0.26,3,3,2,882
0.26,6,1,2,784.7
0.27,3,1,2,1116.5
0.27,5,1,2,863.1
0.28,6,1,2,839.3
0.29,4,1,2,1029.7
0.29,6,1,2,866.6
0.3,2,3,2,1106
0.3,3,3,2,1021.3
0.3,4,2,2,1021.3
0.3,5,3,2,852.6
0.3,6,1,2,909.3
0.31,2,3,2,1139.6
0.31,3,2,2,1139.6
0.31,6,1,2,935.9
0.32,5,1,2,1023.4
0.33,5,1,2,1052.1
0.34,3,2,2,1241.1
0.34,3,3,2,1145.2
0.35,3,2,2,1274.7
0.35,4,3,2,1078
0.4,4,1,2,1593.2
0.41,6,2,2,1131.2
0.41,6,3,2,1054.2
0.47,3,3,2,1855.7
0.48,3,4,2,1668.1
0.5,4,1,2,2556.4
0.51,2,3,2,2605.4
0.51,3,2,2,2605.4
0.52,6,1,2,2166.5
0.55,3,3,2,2594.2
0.56,2,3,2,2849
0.56,4,3,2,2429
0.58,2,2,2,3381.7
0.58,3,2,2,2946.3
0.58,4,2,2,2674.7
0.7,4,2,2,3924.9
0.7,4,3,2,3728.2
0.71,1,4,2,4312
0.76,3,3,2,4266.5
0.78,4,3,2,4155.9
1,5,3,2,6539.4
1.01,4,4,2,6799.1
1.01,5,5,2,6211.1
1.01,6,4,2,5722.5
0.5,3,2,3,2644.6
0.5,4,2,3,2402.4
0.51,3,2,3,2695.7
0.52,2,5,3,2342.2
0.52,5,2,3,2191
0.53,3,2,3,2796.5
0.53,3,3,3,2590.7
0.55,4,3,3,2470.3
0.56,3,4,3,2566.9
0.56,3,5,3,2241.4
0.57,3,5,3,2279.2
0.57,5,2,3,2390.5
0.58,5,1,3,2654.4
0.6,4,4,3,2747.5
0.6,4,5,3,2394.7
0.6,5,2,3,2747.5
0.61,5,3,3,2531.2
0.62,6,3,3,2530.5
0.64,5,3,3,2649.5
0.65,6,3,3,2550.1
0.66,5,2,3,3010
0.7,2,2,3,4806.9
0.7,2,3,3,4399.5
0.7,4,2,3,4060
0.7,4,3,3,3857
0.7,5,5,3,3042.2
0.71,4,1,3,4460.4
0.71,5,3,3,3635.1
0.72,5,2,3,3963.4
0.73,3,5,3,3733.1
0.73,4,2,3,4228.7
0.74,5,2,3,4070.5
0.8,3,1,3,6027.7
0.8,3,4,3,4833.5
0.8,4,3,3,4833.5
0.8,5,3,3,4491.2
0.8,5,4,3,4235.7
0.81,2,2,3,6100.5
0.81,2,5,3,4891.6
0.81,3,4,3,4891.6
0.81,4,4,3,4546.5
0.81,5,1,3,5150.6
0.82,3,5,3,4600.4
0.82,4,3,3,4950.4
0.85,3,2,3,5851.3
0.85,3,5,3,4763.5
0.85,4,2,3,5397.7
0.86,5,5,3,4084.5
1,1,3,3,9642.5
1,2,2,3,9835.7
1,2,3,3,7993.3
1,2,4,3,7411.6
1,3,2,3,8187.2
1,3,3,3,7411.6
1,4,2,3,7315
1,4,3,3,6927.2
1,4,5,3,6442.1
1,5,2,3,6636
1,5,4,3,6345.5
1,5,5,3,6151.6
1,6,2,3,6151.6
1,6,3,3,5860.4
1,6,4,3,5666.5
1,6,5,3,5472.6
1.01,1,3,3,9736.3
1.01,2,3,3,8071.7
1.01,2,4,3,7484.4
1.01,3,2,3,8267.7
1.01,3,4,3,7190.4
1.01,4,3,3,6995.1
1.01,4,5,3,6505.1
1.01,5,3,3,6603.1
1.01,5,4,3,6407.1
1.01,6,2,3,6211.1
1.01,6,4,3,5722.5
1.02,3,3,3,7557.2
1.06,5,3,3,6923
1.02,5,5,3,6271.3
1.09,6,3,3,6374.9
